#,店舗名,エリア,業態,サイト状況,公式URL,推定客単,個室・貸切,優先度,メモ
1,大人たちの隠れ居酒屋 四葉,国分町,隠れ家居酒屋,owstテンプレ,https://yotsuba.owst.jp/,5000-7000,個室,★最有力,接待・お忍びデート向け／owstテンプレで実質要刷新確定
2,ルリアン Le Lien（伊達マルシェ）,国分町・広瀬通,創作料理ダイニング,owst＋ぐるなび,https://lelien1208.owst.jp/,5000-7000,20-30名貸切,★最有力,ウッドテイスト・隠れ家／20-30名貸切対応
3,ARGENTO（アルジェント）,国分町・勾当台公園駅3分,ワインバー＆ダイニング,公式サイトなし,https://t336200.gorp.jp/,5000-10000,不明,★最有力,東北食材・ワイン450本以上／ぐるなびサブドメインのみ
4,月虹（GEKKO）,国分町・EX PLAZA 4F,ダイニングバー,公式サイトなし,,4000-6000,不明,★最有力,EX PLAZA 4F空中階／集約サイトのみ
5,お箸タパス&お酒 ろ・び・ん,国分町・勾当台公園,和バル・ダイニングバー,公式サイトなし,,4000-6000,カウンター,★最有力,和タパス・箸スタイル／集約サイトのみ
6,本格イタリアン Arcadia 仙台国分町店,国分町,本格イタリアン,owstテンプレ,https://akr0490832711.owst.jp/,5000-7000,不明,★最有力,owstテンプレ・実質要刷新候補
7,BISTRO ENCORE（ビストロ アンコール）,国分町・晩翠通り,ビストロ・フレンチ,要確認,,5000-8000,2F個室あり,要確認,35歳独立・個人経営／Jazz・カウンター＋テーブル＋2F個室
8,Bistro chasseur（ビストロ シャスール）,国分町,ビストロ,要確認,,5000-7000,不明,要確認,温かい色の灯り・落ち着いた空間
9,BAR THE ROTHKO,国分町,オーセンティックバー,要確認,,5000-8000,不明,要確認,ジャズ・オーナー1人経営／ウィスキー豊富
10,バー アルカンシェル,国分町,オーセンティックバー,要確認,,5000-8000,不明,要確認,和洋融合・優美な雰囲気
11,カーヴ,国分町・稲荷小路,オーセンティックバー,要確認,,6000-10000,不明,要確認,1990年創業・100年松カウンター・希少シングルモルト
12,酒場 門,国分町,クラシックバー,要確認,,3000-5000,不明,要確認,仙台最古級・昭和24年創業・ワンオペマスター
13,BAR ECXIA,国分町・一番町,ダイニングバー,要確認,,5000-8000,不明,要確認,ヒトサラ掲載・公式サイト要確認
14,おはし二日町,二日町・Bonds&R 2F,炭火焼き・和ダイニング,要確認,,5000-7000,不明,要確認,「上質な日常」コンセプト・宮城こだわり食材
15,國酒 酉とも,立町area,大人の隠れ家居酒屋,要確認,,4000-6000,不明,要確認,大人向け隠れ家・要詳細確認
16,飲み喰い処 玄孫,立町area,隠れ家ダイニング,要確認,,4000-6000,不明,要確認,大人向け隠れ家・要詳細確認
17,飲み喰い処 伜,立町area,隠れ家ダイニング,要確認,,4000-6000,不明,要確認,大人向け隠れ家・要詳細確認
18,国分町 黒髙,国分町,和ダイニング・完全個室,自社サイトあり,https://www.kurotaka.website/,8000+,完全個室,自社サイトあり,完全個室・宮城沖天然フグ／2022年創業
19,Cuocca（クオッカ）,国分町・勾当台公園駅3分,イタリアン・フレンチ,自社サイトあり,https://cuoca1015.com/,8500,カウンター＋個室,自社サイトあり,2024年新オープン
20,nacrée（ナクレ）,一番町・藤崎ファーストタワー4F,フレンチ（高級）,自社サイトあり,https://nacree.jp/,22000,不明,自社サイトあり,パリ・アストランス系シェフ・高級・別マーケット可能性
21,キザブロ,国分町,イタリアン・ワインバー,自社サイトあり,https://www.kizaburo.com/,5000-8000,ソファ席10名貸切,自社サイトあり,記念日・デート向け
22,仙台海蔵,国分町,完全個室居酒屋,自社サイトあり,https://www.sendai-umizo.com/,4000-6000,完全個室,自社サイトあり,完全個室特化・宴会対応
23,Dream Home,仙台駅,ダイニングバー・貸切,自社サイトあり,https://www.dreamhome-sendai.jp/,4000-6000,貸切対応,自社サイトあり,貸切女子会・宴会対応
24,折衷Bar シヅクトウヤ,国分町・仙台駅,ダイニングバー,自社サイトあり,https://www.shizukuto-ya.com/,5000-7000,不明,自社サイトあり,折衷スタイル・要評価
25,ITALIAN BAR JAPPS,国分町,イタリアンバー,自社サイトあり,https://italian-bar-japps.com/,5000-7000,不明,自社サイトあり,公式サイトあり・要評価
26,Bar BARBE,仙台市,ウィスキーバー,自社サイトあり,https://barbe-miyagi.com/,5000-8000,不明,自社サイトあり,ウィスキー特化・要評価
27,ウメ子の家 仙台駅前店,仙台駅西口,創作和食ダイニング,チェーン,https://umeko.dkdining.com/sendai/,3500-5000,プライベート個室,除外,DKチェーン系FC
28,bar moon walk 国分町店,国分町,250円ダイニングバー,チェーン,https://barmoonwalk.jp/,2000-3000,不明,除外,全国チェーン（客単低・チェーン）
